skos:notation,skos:prefLabel,skos:altLabel,nypl:collectionType,nypl:deliveryLocationType,nypl:actualLocation,dcterms:isPartOf,nypl:owner,nypl:requestable,nypl:deliverableTo,nypl:recapCustomerCode,nypl:allowSierraHold,nypl:locationsSlug,nypl:deliverableToResolution
b1j0f,Bookmobile 1 Children's Fiction,Bookmobile 1 Children's Fiction,,,,b1,,false,,,true,,
b1j0h,Bookmobile 1 Children's Holiday Book,Bookmobile 1 Children's Holiday Book,,,,b1,,false,,,true,,
b1j0i,Bookmobile 1 Children's Picture Book,Bookmobile 1 Children's Picture Book,,,,b1,,false,,,true,,
b1j0l,Bookmobile 1 Children's World Languages,Bookmobile 1 Children's World Languages,,,,b1,,false,,,true,,
b1j0n,Bookmobile 1 Children's Non-Fiction,Bookmobile 1 Children's Non-Fiction,,,,b1,,false,,,true,,
b1j0t,Bookmobile 1 Children's Fairy Tale,Bookmobile 1 Children's Fairy Tale,,,,b1,,false,,,true,,
b1j0v,Bookmobile 1 Children's Non-Print Media,Bookmobile 1 Children's Non-Print Media,,,,b1,,false,,,true,,
b1j0y,Bookmobile 1 Children's Young Reader,Bookmobile 1 Children's Young Reader,,,,b1,,false,,,true,,
b1jlf,Bookmobile 1 Children's Read-Along Book Fiction,Bookmobile 1 Children's Read-Along Book Fiction,,,,b1,,false,,,true,,
b1jln,Bookmobile 1 Children's Read-Along Book Non-Fiction,Bookmobile 1 Children's Read-Along Book Non-Fiction,,,,b1,,false,,,true,,
b1jr,Bookmobile 1 Children's Reference,Bookmobile 1 Children's Reference,,,,b1,,false,,,true,,
b1y,Bookmobile 1 Young Adult,Bookmobile 1 Young Adult,,,,b1,,false,,,true,,
b1y01,Bookmobile 1 YA Reference,Bookmobile 1 YA Reference,,,,b1,,false,,,true,,
b1y0f,Bookmobile 1 YA Fiction,Bookmobile 1 YA Fiction,,,,b1,,false,,,true,,
b1y0l,Bookmobile 1 YA World Languages,Bookmobile 1 YA World Languages,,,,b1,,false,,,true,,
b1y0n,Bookmobile 1 YA Non-Fiction,Bookmobile 1 YA Non-Fiction,,,,b1,,false,,,true,,
b1y0v,Bookmobile 1 YA Non-Print Media,Bookmobile 1 YA Non-Print Media,,,,b1,,false,,,true,,
b1yr,Bookmobile 1 Young Adult Reference,Bookmobile 1 Young Adult Reference,,,,b1,,false,,,true,,
b1zzz,Bookmobile 1 (error code),Bookmobile 1 (error code),,,,b1,,false,,,true,,
b2,Bookmobile 2,Bookmobile 2,,,,b2,,false,,,true,,
b2a,Bookmobile 2 Adult,Bookmobile 2 Adult,,,,b2,,false,,,true,,
b2a01,Bookmobile 2 Reference,Bookmobile 2 Reference,,,,b2,,false,,,true,,
b2a03,Bookmobile 2 Closed Shelf Reference,Bookmobile 2 Closed Shelf Reference,,,,b2,,false,,,true,,
b2a0f,Bookmobile 2 Fiction,Bookmobile 2 Fiction,,,,b2,,false,,,true,,
b2a0l,Bookmobile 2 World Languages,Bookmobile 2 World Languages,,,,b2,,false,,,true,,
b2a0n,Bookmobile 2 Non-Fiction,Bookmobile 2 Non-Fiction,,,,b2,,false,,,true,,
b2a0v,Bookmobile 2 Non-Print Media,Bookmobile 2 Non-Print Media,,,,b2,,false,,,true,,
b2ar,Bookmobile 2 Adult Reference,Bookmobile 2 Adult Reference,,,,b2,,false,,,true,,
b2j,Bookmobile 2 Children,Bookmobile 2 Children,,,,b2,,false,,,true,,
b2j01,Bookmobile 2 Children's Reference,Bookmobile 2 Children's Reference,,,,b2,,false,,,true,,
b2j0a,Bookmobile 2 Children's Early Reader,Bookmobile 2 Children's Early Reader,,,,b2,,false,,,true,,
b2j0f,Bookmobile 2 Children's Fiction,Bookmobile 2 Children's Fiction,,,,b2,,false,,,true,,
b2j0h,Bookmobile 2 Children's Holiday Book,Bookmobile 2 Children's Holiday Book,,,,b2,,false,,,true,,
b2j0i,Bookmobile 2 Children's Picture Book,Bookmobile 2 Children's Picture Book,,,,b2,,false,,,true,,
b2j0l,Bookmobile 2 Children's World Languages,Bookmobile 2 Children's World Languages,,,,b2,,false,,,true,,
b2j0n,Bookmobile 2 Children's Non-Fiction,Bookmobile 2 Children's Non-Fiction,,,,b2,,false,,,true,,
b2j0t,Bookmobile 2 Children's Fairy Tale,Bookmobile 2 Children's Fairy Tale,,,,b2,,false,,,true,,
b2j0v,Bookmobile 2 Children's Non-Print Media,Bookmobile 2 Children's Non-Print Media,,,,b2,,false,,,true,,
b2j0y,Bookmobile 2 Children's Young Reader,Bookmobile 2 Children's Young Reader,,,,b2,,false,,,true,,
b2jlf,Bookmobile 2 Children's Read-Along Book Fiction,Bookmobile 2 Children's Read-Along Book Fiction,,,,b2,,false,,,true,,
b2jln,Bookmobile 2 Children's Read-Along Book Non-Fiction,Bookmobile 2 Children's Read-Along Book Non-Fiction,,,,b2,,false,,,true,,
b2jr,Bookmobile 2 Children's Reference,Bookmobile 2 Children's Reference,,,,b2,,false,,,true,,
b2y,Bookmobile 2 Young Adult,Bookmobile 2 Young Adult,,,,b2,,false,,,true,,
b2y01,Bookmobile 2 YA Reference,Bookmobile 2 YA Reference,,,,b2,,false,,,true,,
b2y0f,Bookmobile 2 YA Fiction,Bookmobile 2 YA Fiction,,,,b2,,false,,,true,,
b2y0l,Bookmobile 2 YA World Languages,Bookmobile 2 YA World Languages,,,,b2,,false,,,true,,
b2y0n,Bookmobile 2 YA Non-Fiction,Bookmobile 2 YA Non-Fiction,,,,b2,,false,,,true,,
b2y0v,Bookmobile 2 YA Non-Print Media,Bookmobile 2 YA Non-Print Media,,,,b2,,false,,,true,,
b2yr,Bookmobile 2 Young Adult Reference,Bookmobile 2 Young Adult Reference,,,,b2,,false,,,true,,
b2zzz,Bookmobile 2 (error code),Bookmobile 2 (error code),,,,b2,,false,,,true,,
b3,Bookmobile 3,Bookmobile 3,,,,b3,,false,,,true,,
b3a,Bookmobile 3 Adult,Bookmobile 3 Adult,,,,b3,,false,,,true,,
b3a01,Bookmobile 3 Reference,Bookmobile 3 Reference,,,,b3,,false,,,true,,
b3a03,Bookmobile 3 Closed Shelf Reference,Bookmobile 3 Closed Shelf Reference,,,,b3,,false,,,true,,
b3a0f,Bookmobile 3 Fiction,Bookmobile 3 Fiction,,,,b3,,false,,,true,,
b3a0l,Bookmobile 3 World Languages,Bookmobile 3 World Languages,,,,b3,,false,,,true,,
b3a0n,Bookmobile 3 Non-Fiction,Bookmobile 3 Non-Fiction,,,,b3,,false,,,true,,
b3a0v,Bookmobile 3 Non-Print Media,Bookmobile 3 Non-Print Media,,,,b3,,false,,,true,,
b3ar,Bookmobile 3 Adult Reference,Bookmobile 3 Adult Reference,,,,b3,,false,,,true,,
b3j,Bookmobile 3 Children,Bookmobile 3 Children,,,,b3,,false,,,true,,
b3j01,Bookmobile 3 Children's Reference,Bookmobile 3 Children's Reference,,,,b3,,false,,,true,,
b3j0a,Bookmobile 3 Children's Early Reader,Bookmobile 3 Children's Early Reader,,,,b3,,false,,,true,,
b3j0f,Bookmobile 3 Children's Fiction,Bookmobile 3 Children's Fiction,,,,b3,,false,,,true,,
b3j0h,Bookmobile 3 Children's Holiday Book,Bookmobile 3 Children's Holiday Book,,,,b3,,false,,,true,,
b3j0i,Bookmobile 3 Children's Picture Book,Bookmobile 3 Children's Picture Book,,,,b3,,false,,,true,,
b3j0l,Bookmobile 3 Children's World Languages,Bookmobile 3 Children's World Languages,,,,b3,,false,,,true,,
b3j0n,Bookmobile 3 Children's Non-Fiction,Bookmobile 3 Children's Non-Fiction,,,,b3,,false,,,true,,
b3j0t,Bookmobile 3 Children's Fairy Tale,Bookmobile 3 Children's Fairy Tale,,,,b3,,false,,,true,,
b3j0v,Bookmobile 3 Children's Non-Print Media,Bookmobile 3 Children's Non-Print Media,,,,b3,,false,,,true,,
b3j0y,Bookmobile 3 Children's Young Reader,Bookmobile 3 Children's Young Reader,,,,b3,,false,,,true,,
b3jlf,Bookmobile 3 Children's Read-Along Book Fiction,Bookmobile 3 Children's Read-Along Book Fiction,,,,b3,,false,,,true,,
b3jln,Bookmobile 3 Children's Read-Along Book Non-Fiction,Bookmobile 3 Children's Read-Along Book Non-Fiction,,,,b3,,false,,,true,,
b3jr,Bookmobile 3 Children's Reference,Bookmobile 3 Children's Reference,,,,b3,,false,,,true,,
b3y,Bookmobile 3 Young Adult,Bookmobile 3 Young Adult,,,,b3,,false,,,true,,
b3y01,Bookmobile 3 YA Reference,Bookmobile 3 YA Reference,,,,b3,,false,,,true,,
b3y0f,Bookmobile 3 YA Fiction,Bookmobile 3 YA Fiction,,,,b3,,false,,,true,,
b3y0l,Bookmobile 3 YA World Languages,Bookmobile 3 YA World Languages,,,,b3,,false,,,true,,
b3y0n,Bookmobile 3 YA Non-Fiction,Bookmobile 3 YA Non-Fiction,,,,b3,,false,,,true,,
b3y0v,Bookmobile 3 YA Non-Print Media,Bookmobile 3 YA Non-Print Media,,,,b3,,false,,,true,,
b3yr,Bookmobile 3 Young Adult Reference,Bookmobile 3 Young Adult Reference,,,,b3,,false,,,true,,
b3zzz,Bookmobile 3 (error code),Bookmobile 3 (error code),,,,b3,,false,,,true,,
ba,Baychester,Baychester,Branch,,,ba,,false,,,true,,
baa,Baychester Adult,Baychester Adult,Branch,,,ba,,false,,,true,,
baa01,Baychester Reference,Baychester Reference,Branch,,,ba,,false,,,true,,
baa03,Baychester Closed Shelf Reference,Baychester Closed Shelf Reference,Branch,,,ba,,false,,,true,,
baa0f,Baychester Fiction,Baychester Fiction,Branch,,,ba,,false,,,true,,
baa0l,Baychester World Languages,Baychester World Languages,Branch,,,ba,,false,,,true,,
baa0n,Baychester Non-Fiction,Baychester Non-Fiction,Branch,,,ba,,false,,,true,,
baa0v,Baychester Non-Print Media,Baychester Non-Print Media,Branch,,,ba,,false,,,true,,
baar,Baychester Adult Reference,Baychester Adult Reference,Branch,,,ba,,false,,,true,,
baj,Baychester Children,Baychester Children,Branch,,,ba,,false,,,true,,
baj01,Baychester Children's Reference,Baychester Children's Reference,Branch,,,ba,,false,,,true,,
baj0a,Baychester Children's Easy Book,Baychester Children's Easy Book,Branch,,,ba,,false,,,true,,
baj0f,Baychester Children's Fiction,Baychester Children's Fiction,Branch,,,ba,,false,,,true,,
baj0h,Baychester Children's Holiday Book,Baychester Children's Holiday Book,Branch,,,ba,,false,,,true,,
baj0i,Baychester Children's Picture Book,Baychester Children's Picture Book,Branch,,,ba,,false,,,true,,
baj0l,Baychester Children's World Languages,Baychester Children's World Languages,Branch,,,ba,,false,,,true,,
baj0n,Baychester Children's Non-Fiction,Baychester Children's Non-Fiction,Branch,,,ba,,false,,,true,,
baj0t,Baychester Children's Fairy Tale,Baychester Children's Fairy Tale,Branch,,,ba,,false,,,true,,
baj0v,Baychester Children's Non-Print Media,Baychester Children's Non-Print Media,Branch,,,ba,,false,,,true,,
baj0y,Baychester Children's Young Reader,Baychester Children's Young Reader,Branch,,,ba,,false,,,true,,
bajlf,Baychester Children's Read-Along Book Fiction,Baychester Children's Read-Along Book Fiction,Branch,,,ba,,false,,,true,,
bajln,Baychester Children's Read-Along Book Non-Fiction,Baychester Children's Read-Along Book Non-Fiction,Branch,,,ba,,false,,,true,,
bajr,Baychester Children's Reference,Baychester Children's Reference,Branch,,,ba,,false,,,true,,
bay,Baychester Young Adult,Baychester Young Adult,Branch,,,ba,,false,,,true,,
bay01,Baychester YA Reference,Baychester YA Reference,Branch,,,ba,,false,,,true,,
bay0f,Baychester YA Fiction,Baychester YA Fiction,Branch,,,ba,,false,,,true,,
bay0l,Baychester YA World Languages,Baychester YA World Languages,Branch,,,ba,,false,,,true,,
bay0n,Baychester YA Non-Fiction,Baychester YA Non-Fiction,Branch,,,ba,,false,,,true,,
bay0v,Baychester YA Non-Print Media,Baychester YA Non-Print Media,Branch,,,ba,,false,,,true,,
bayr,Baychester Young Adult Reference,Baychester Young Adult Reference,Branch,,,ba,,false,,,true,,
bazzz,Baychester,Baychester (error code),Branch,,,ba,,false,,,true,,
bc,Bronx Library Center,Bronx Library Center,Branch,,,bc,,false,,,true,,
bca,Bronx Library Center Adult,Bronx Library Center Adult,Branch,,,bc,,false,,,true,,
bca01,Bronx Library Center Reference,Bronx Library Center Reference,Branch,,,bc,,false,,,true,,
bca03,Bronx Library Center Closed Shelf Reference,Bronx Library Center Closed Shelf Reference,Branch,,,bc,,false,,,true,,
bca0f,Bronx Library Center Fiction,Bronx Library Center Fiction,Branch,,,bc,,false,,,true,,
bca0l,Bronx Library Center World Languages,Bronx Library Center World Languages,Branch,,,bc,,false,,,true,,
bca0n,Bronx Library Center Non-Fiction,Bronx Library Center Non-Fiction,Branch,,,bc,,false,,,true,,
bca0v,Bronx Library Center Non-Print Media,Bronx Library Center Non-Print Media,Branch,,,bc,,false,,,true,,
bca0w,Bronx Library Center for Reading & Writing,Bronx Library Center for Reading & Writing,Branch,,,bc,,false,,,true,,
bcacn,Bronx Library Center Jerome Robbins Adult Non-Fiction,Bronx Library Center Jerome Robbins Adult Non-Fiction,Branch,,,bc,,false,,,true,,
bcacs,Bronx Library Center Career Services,Bronx Library Center Career Services,Branch,,,bc,,false,,,true,,
bcacv,Bronx Library Center Jerome Robbins Non-Print Media,Bronx Library Center Jerome Robbins Non-Print Media,Branch,,,bc,,false,,,true,,
bcar,Bronx Library Center Adult Reference,Bronx Library Center Adult Reference,Branch,,,bc,,false,,,true,,
bcatf,Bronx Library Center ThriveNYC Adult Fiction,Bronx Library Center ThriveNYC Adult Fiction,Branch,,,bc,,false,,,true,,
bcatn,Bronx Library Center ThriveNYC Adult Non-Fiction,Bronx Library Center ThriveNYC Adult Non-Fiction,Branch,,,bc,,false,,,true,,
bcj,Bronx Library Center Children,Bronx Library Center Children,Branch,,,bc,,false,,,true,,
bcj01,Bronx Library Center Children's Reference,Bronx Library Center Children's Reference,Branch,,,bc,,false,,,true,,
bcj0a,Bronx Library Center Children's Easy Book,Bronx Library Center Children's Easy Book,Branch,,,bc,,false,,,true,,
bcj0f,Bronx Library Center Children's Fiction,Bronx Library Center Children's Fiction,Branch,,,bc,,false,,,true,,
bcj0h,Bronx Library Center Children's Holiday Book,Bronx Library Center Children's Holiday Book,Branch,,,bc,,false,,,true,,
bcj0i,Bronx Library Center Children's Picture Book,Bronx Library Center Children's Picture Book,Branch,,,bc,,false,,,true,,
bcj0l,Bronx Library Center Children's World Languages,Bronx Library Center Children's World Languages,Branch,,,bc,,false,,,true,,
bcj0n,Bronx Library Center Children's Non-Fiction,Bronx Library Center Children's Non-Fiction,Branch,,,bc,,false,,,true,,
bcj0t,Bronx Library Center Children's Fairy Tale,Bronx Library Center Children's Fairy Tale,Branch,,,bc,,false,,,true,,
bcj0v,Bronx Library Center Children's Non-Print Media,Bronx Library Center Children's Non-Print Media,Branch,,,bc,,false,,,true,,
bcj0y,Bronx Library Center Children's Young Reader,Bronx Library Center Children's Young Reader,Branch,,,bc,,false,,,true,,
bcjcn,Bronx Library Center Jerome Robbins Children's Non-Fiction,Bronx Library Center Jerome Robbins Children's Non-Fiction,Branch,,,bc,,false,,,true,,
bcjlf,Bronx Library Center Children's Read-Along Book Fiction,Bronx Library Center Children's Read-Along Book Fiction,Branch,,,bc,,false,,,true,,
bcjln,Bronx Library Center Children's Read-Along Book Non-Fiction,Bronx Library Center Children's Read-Along Book Non-Fiction,Branch,,,bc,,false,,,true,,
bcjr,Bronx Library Center Children's Reference,Bronx Library Center Children's Reference,Branch,,,bc,,false,,,true,,
bcy,Bronx Library Center Young Adult,Bronx Library Center Young Adult,Branch,,,bc,,false,,,true,,
bcy01,Bronx Library Center YA Reference,Bronx Library Center YA Reference,Branch,,,bc,,false,,,true,,
bcy0f,Bronx Library Center YA Fiction,Bronx Library Center YA Fiction,Branch,,,bc,,false,,,true,,
bcy0l,Bronx Library Center YA World Languages,Bronx Library Center YA World Languages,Branch,,,bc,,false,,,true,,
bcy0n,Bronx Library Center YA Non-Fiction,Bronx Library Center YA Non-Fiction,Branch,,,bc,,false,,,true,,
bcy0v,Bronx Library Center YA Non-Print Media,Bronx Library Center YA Non-Print Media,Branch,,,bc,,false,,,true,,
bcyr,Bronx Library Center Young Adult Reference,Bronx Library Center Young Adult Reference,Branch,,,bc,,false,,,true,,
bcytn,Bronx Library Center Young Adult College and Career Pathways Collection,Bronx Library Center Young Adult College and Career Pathways Collection,Branch,,,bc,,false,,,true,,
bczzz,Bronx Library Center,Bronx Library Center (error code),Branch,,,bc,,false,,,true,,
be,Belmont,Belmont,Branch,,,be,,false,,,true,,
bea,Belmont Adult,Belmont Adult,Branch,,,be,,false,,,true,,
bea01,Belmont Reference,Belmont Reference,Branch,,,be,,false,,,true,,
bea03,Belmont Closed Shelf Reference,Belmont Closed Shelf Reference,Branch,,,be,,false,,,true,,
bea0f,Belmont Fiction,Belmont Fiction,Branch,,,be,,false,,,true,,
bea0l,Belmont World Languages,Belmont World Languages,Branch,,,be,,false,,,true,,
bea0n,Belmont Non-Fiction,Belmont Non-Fiction,Branch,,,be,,false,,,true,,
bea0v,Belmont Non-Print Media,Belmont Non-Print Media,Branch,,,be,,false,,,true,,
bear,Belmont Adult Reference,Belmont Adult Reference,Branch,,,be,,false,,,true,,
bej,Belmont Children,Belmont Children,Branch,,,be,,false,,,true,,
bej01,Belmont Children's Reference,Belmont Children's Reference,Branch,,,be,,false,,,true,,
bej0a,Belmont Children's Easy Book,Belmont Children's Easy Book,Branch,,,be,,false,,,true,,
bej0f,Belmont Children's Fiction,Belmont Children's Fiction,Branch,,,be,,false,,,true,,
bej0h,Belmont Children's Holiday Book,Belmont Children's Holiday Book,Branch,,,be,,false,,,true,,
bej0i,Belmont Children's Picture Book,Belmont Children's Picture Book,Branch,,,be,,false,,,true,,
bej0l,Belmont Children's World Languages,Belmont Children's World Languages,Branch,,,be,,false,,,true,,
bej0n,Belmont Children's Non-Fiction,Belmont Children's Non-Fiction,Branch,,,be,,false,,,true,,
bej0t,Belmont Children's Fairy Tale,Belmont Children's Fairy Tale,Branch,,,be,,false,,,true,,
bej0v,Belmont Children's Non-Print Media,Belmont Children's Non-Print Media,Branch,,,be,,false,,,true,,
bej0y,Belmont Children's Young Reader,Belmont Children's Young Reader,Branch,,,be,,false,,,true,,
bejlf,Belmont Children's Read-Along Book Fiction,Belmont Children's Read-Along Book Fiction,Branch,,,be,,false,,,true,,
bejln,Belmont Children's Read-Along Book Non-Fiction,Belmont Children's Read-Along Book Non-Fiction,Branch,,,be,,false,,,true,,
bejr,Belmont Children's Reference,Belmont Children's Reference,Branch,,,be,,false,,,true,,
bey,Belmont Young Adult,Belmont Young Adult,Branch,,,be,,false,,,true,,
bey01,Belmont YA Reference,Belmont YA Reference,Branch,,,be,,false,,,true,,
bey0f,Belmont YA Fiction,Belmont YA Fiction,Branch,,,be,,false,,,true,,
bey0l,Belmont YA World Languages,Belmont YA World Languages,Branch,,,be,,false,,,true,,
bey0n,Belmont YA Non-Fiction,Belmont YA Non-Fiction,Branch,,,be,,false,,,true,,
bey0v,Belmont YA Non-Print Media,Belmont YA Non-Print Media,Branch,,,be,,false,,,true,,
beyr,Belmont Young Adult Reference,Belmont Young Adult Reference,Branch,,,be,,false,,,true,,
bezzz,Belmont,Belmont (error code),Branch,,,be,,false,,,true,,
bl,Bloomingdale,Bloomingdale,Branch,,,bl,,false,,,true,,
bla,Bloomingdale Adult,Bloomingdale Adult,Branch,,,bl,,false,,,true,,
bla01,Bloomingdale Reference,Bloomingdale Reference,Branch,,,bl,,false,,,true,,
bla03,Bloomingdale Closed Shelf Reference,Bloomingdale Closed Shelf Reference,Branch,,,bl,,false,,,true,,
bla0f,Bloomingdale Fiction,Bloomingdale Fiction,Branch,,,bl,,false,,,true,,
bla0l,Bloomingdale World Languages,Bloomingdale World Languages,Branch,,,bl,,false,,,true,,
bla0n,Bloomingdale Non-Fiction,Bloomingdale Non-Fiction,Branch,,,bl,,false,,,true,,
bla0v,Bloomingdale Non-Print Media,Bloomingdale Non-Print Media,Branch,,,bl,,false,,,true,,
blar,Bloomingdale Adult Reference,Bloomingdale Adult Reference,Branch,,,bl,,false,,,true,,
blj,Bloomingdale Children,Bloomingdale Children,Branch,,,bl,,false,,,true,,
blj01,Bloomingdale Children's Reference,Bloomingdale Children's Reference,Branch,,,bl,,false,,,true,,
blj0a,Bloomingdale Children's Easy Book,Bloomingdale Children's Easy Book,Branch,,,bl,,false,,,true,,
